from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
HGH,China,CTU,China,Airbus A321,CA,[Air China],CA8581,2022-08-28 18:30:00,2022-08-28 21:35:00,185,0,,USD,200000,,,2022-04-29 17:52:59
HGH,China,CTU,China,Airbus A330,CA,[Air China],CA4534,2022-08-28 22:30:00,2022-08-29 01:35:00,185,0,,USD,160000,,,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,CZ,[China Southern],CZ3095,2022-07-29 14:30:00,2022-07-29 16:35:00,125,0,196.00,USD,107000,109000,-2%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,MU,[China Eastern],MU5007,2022-07-29 12:25:00,2022-07-29 14:25:00,120,0,206.00,USD,96000,109000,-12%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,CI,[China Airlines],CI504,2022-07-29 19:50:00,2022-07-29 21:50:00,120,0,244.00,USD,109000,109000,0%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,BR,[EVA Air],BR711,2022-07-29 13:10:00,2022-07-29 15:05:00,115,0,245.00,USD,111000,109000,1%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,CA,[Air China],CA195,2022-07-29 11:15:00,2022-07-29 13:25:00,130,0,,USD,90000,109000,-17%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,BR,[EVA Air],BR751,2022-07-29 16:00:00,2022-07-29 18:00:00,120,0,245.00,USD,120000,109000,9%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,BR,[EVA Air],BR721,2022-07-29 20:05:00,2022-07-29 22:00:00,115,0,245.00,USD,111000,109000,1%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,CI,[China Airlines],CI502,2022-07-29 12:05:00,2022-07-29 14:15:00,130,0,404.00,USD,109000,109000,0%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,CI,[China Airlines],CI506,2022-07-29 20:50:00,2022-07-29 22:55:00,125,0,404.00,USD,92000,109000,-16%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,MU,[China Eastern],MU5007,2022-08-28 12:25:00,2022-08-28 14:25:00,120,0,188.00,USD,96000,109000,-12%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,CZ,[China Southern],CZ3095,2022-08-28 14:30:00,2022-08-28 16:35:00,125,0,196.00,USD,107000,109000,-2%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Airbus A330,CA,[Air China],CA195,2022-08-28 14:25:00,2022-08-28 16:25:00,120,0,,USD,90000,109000,-17%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,CI,[China Airlines],CI502,2022-08-28 12:05:00,2022-08-28 14:15:00,130,0,244.00,USD,109000,109000,0%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,CI,[China Airlines],CI504,2022-08-28 19:50:00,2022-08-28 21:50:00,120,0,244.00,USD,109000,109000,0%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,BR,[EVA Air],BR711,2022-08-28 13:10:00,2022-08-28 15:05:00,115,0,245.00,USD,111000,109000,1%,2022-04-29 17:52:59
PVG,China,TPE,Taiwan,Boeing 777,BR,[EVA Air],BR721,2022-08-28 20:05:00,2022-08-28 22:00:00,115,0,245.00,USD,111000,109000,1%,2022-04-29 17:52:59
HGH,China,CGO,China,Boeing 737,MF,[XiamenAir],MF8243,2022-05-01 08:50:00,2022-05-01 10:40:00,110,0,282.00,USD,116000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Airbus A320,GJ,[Zhejiang Loong Airlines],GJ8781,2022-05-01 06:45:00,2022-05-01 08:35:00,110,0,,USD,119000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Boeing 737,CZ,[China Southern],CZ3840,2022-05-03 15:50:00,2022-05-03 17:40:00,110,0,194.00,USD,114000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Boeing 737,MF,[XiamenAir],MF8243,2022-05-03 08:50:00,2022-05-03 10:40:00,110,0,212.00,USD,112000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Airbus A320,GJ,[Zhejiang Loong Airlines],GJ8781,2022-05-03 06:45:00,2022-05-03 08:35:00,110,0,,USD,119000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Airbus A319,CA,[Air China],CA1757,2022-05-03 07:25:00,2022-05-03 09:10:00,105,0,,USD,131000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Airbus A320,MU,[China Eastern],MU6541,2022-05-07 07:55:00,2022-05-07 09:55:00,120,0,179.00,USD,114000,,,2022-04-29 17:52:59
HGH,China,CGO,China,Boeing 737,CZ,[China Southern],CZ3840,2022-05-07 15:50:00,2022-05-07 17:40:00,110,0,194.00,USD,114000,,,2022-04-29 17:52:59
